code_uic;ville;villegare;region;departement;lat;lng
87413708;Harfleur Halte;HARFLEUR HALTE;REGION NORMANDIE;Seine-Maritime;49.5059181;0.192085
87413336;Virville - Manneville;VIRVILLE MANNEVILLE GARE;REGION NORMANDIE;Seine-Maritime;49.5835958;0.3541609
87411389;Forges-les-Eaux;;;Seine-Maritime;;
87411264;Barentin;BARENTIN EMBRANCHEMENT GARE;REGION NORMANDIE;Seine-Maritime;49.549123;0.953517
87411207;Oissel;OISSEL GARE;REGION NORMANDIE;Seine-Maritime;49.343060;1.101799
87402297;Colmar Mésanges;COLMAR ST JOSEPH GARE;REGION ALSACE;Haut-Rhin;48.0860048;7.3336703
87396895;Clermont La Rotonde;CLERMONT FERRAND GARE DE LA ROTONDE;REGION AUVERGNE;Puy-de-Dôme;45.7680954;3.0909704
87396606;Château-du-Loir;CHATEAU DU LOIR P GARE;REGION PAYS DE LA LOIRE;Sarthe;47.683392;0.414912
87396358;Voivres-lès-le-Mans;VOIVRES GARE;REGION PAYS DE LA LOIRE;Sarthe;47.9304199;0.0853466
87396325;La Ferté-Bernard;LA FERTE BERNARD GARE;REGION PAYS DE LA LOIRE;Sarthe;48.1864887;0.639711
87396291;Montfort-le-Gesnois;PONT DE GENNES MONTFORT P GARE;REGION PAYS DE LA LOIRE;Sarthe;48.0405657;0.4064237
87396093;La Hutte Coulombiers;LA HUTTE COULOMBIERS GARE;REGION PAYS DE LA LOIRE;;48.303495;0.1056788
87394437;Illiers-Combray;ILLIERS COMBRAY GARE;REGION DE PARIS RIVE GAUCHE;Eure-et-Loir;48.303937;1.2448745
87394296;Nogent-le-Rotrou;NOGENT LE ROTROU GARE;REGION DE PARIS RIVE GAUCHE;Eure-et-Loir;48.3255926;0.8103045
87394130;Maintenon;MAINTENON GARE;REGION DE PARIS RIVE GAUCHE;Eure-et-Loir;48.5854793;1.5920651
87393629;Plaisir - Les Clayes;PLAISIR LES CLAYES GARE;REGION DE PARIS RIVE GAUCHE;Yvelines;48.8304565;1.9600537
87393603;Bourth;;;Eure;48.7658425;0.804747
87393553;Nonancourt;NONANCOURT GARE;REGION DE PARIS RIVE GAUCHE;Eure;48.7757257;1.1929162
87393546;Bièvres;BIEVRES GARE;REGION DE PARIS RIVE GAUCHE;Essonne;48.7513289;2.2157279
87393413;Villepreux - Les Clayes;VILLEPREUX LES CLAYES GARE;REGION DE PARIS RIVE GAUCHE;Yvelines;48.8239168;1.9930652
87393223;Saint-Cyr-l'École;SAINT CYR P GARE;REGION DE PARIS RIVE GAUCHE;Yvelines;48.7990666;2.0733739
87393074;Issy-les-Moulineaux;ISSY GARE;REGION DE PARIS RIVE GAUCHE;Hauts-de-Seine;48.8201001;2.2593469
